week,month_of_year,week_of_month,bed_bath_table_items,computers_accessories_items,furniture_decor_items,health_beauty_items,sports_leisure_items,bed_bath_table_price,computers_accessories_price,furniture_decor_price,health_beauty_price,sports_leisure_price,bed_bath_table_freight,computers_accessories_freight,furniture_decor_freight,health_beauty_freight,sports_leisure_freight,bed_bath_table_review,computers_accessories_review,furniture_decor_review,health_beauty_review,sports_leisure_review,bed_bath_table_shipping,computers_accessories_shipping,furniture_decor_shipping,health_beauty_shipping,sports_leisure_shipping
2017-12-11/2017-12-17,12,2,88,50,76,103,108,7854.150000000001,8997.2,6286.46,20190.75,14315.58,1506.7,1050.83,1408.49,2150.79,1975.55,3.784090909090909,3.92,4.2894736842105265,4.29126213592233,4.175925925925926,13.216086253156567,12.455838425925926,13.077363090886939,12.337957906328658,11.640078446502057
2017-12-18/2017-12-24,12,3,91,56,65,65,69,8494.37,5810.01,6688.85,4953.87,6336.84,1619.38,1289.57,1108.58,1044.43,1270.76,4.131868131868132,3.9464285714285716,4.092307692307692,4.046153846153846,4.130434782608695,14.055673076923078,12.187330109126984,13.405821759259258,13.313966168091168,13.387248221953838
2017-12-25/2017-12-31,12,4,75,34,56,49,51,6523.860000000001,3481.6,3429.78,4758.9800000000005,5539.15,1230.73,669.11,905.93,733.48,1009.76,3.986666666666667,4.529411764705882,3.8392857142857144,4.040816326530612,3.980392156862745,12.010516358024692,10.311022943899781,12.530855034722222,10.219255243764172,13.055651098402326
2018-01-01/2018-01-07,1,1,138,61,121,82,78,12829.95,8680.54,11117.5,8581.43,8801.66,2353.14,1009.41,2455.65,1307.03,1423.65,3.8550724637681157,3.7868852459016393,3.834710743801653,4.341463414634147,4.32051282051282,12.544898349436393,11.263962697328477,12.024359217171718,12.773084631887984,12.570047780151945
2018-01-08/2018-01-14,1,2,156,144,125,129,139,15847.77,19641.33,11001.58,13543.31,19909.89,2955.78,2768.02,2297.96,2148.59,3280.96,4.012820512820513,3.798611111111111,3.832,4.186046511627907,3.9136690647482015,11.687932172958215,11.988874099794238,12.841616296296296,12.987990866350847,11.283157474020785
2018-01-15/2018-01-21,1,3,139,120,138,128,118,10900.66,14341.54,12769.9,13430.960000000001,17510.260000000002,2220.27,2321.77,2969.87,2198.44,2454.05,3.935251798561151,3.6416666666666666,4.166666666666667,3.8671875,3.8220338983050848,11.831401212363444,12.672725694444443,12.894725577026302,12.801985224971064,11.817549827369742
2018-01-22/2018-01-28,1,4,188,154,87,119,109,14782.53,14819.87,8649.18,16479.66,12693.33,3145.44,2502.4,1841.99,2059.66,2071.59,3.5904255319148937,4.220779220779221,4.057471264367816,4.260504201680672,3.770642201834862,12.134543501280536,11.479949194324195,12.161262904427415,12.488505680049796,13.887356014271152
2018-01-29/2018-02-04,1,5,175,186,62,112,131,15312.26,19708.41,4928.24,14795.65,15196.8,2837.24,3293.65,1082.87,2006.04,2548.1,3.8,3.9838709677419355,3.6451612903225805,4.303571428571429,4.015267175572519,12.792046693121694,12.798607999800877,12.125310073178017,12.64578724371693,13.266886220667232
2018-02-05/2018-02-11,2,1,173,180,53,124,139,14827.1,17967.29,5325.33,15004.64,20024.2,2865.7599999999998,3246.73,1020.04,2096.48,2854.63,3.7572254335260116,3.8333333333333335,4.0754716981132075,4.07258064516129,3.805755395683453,13.35589903125669,12.76811992026749,10.83569640985325,13.992480772102748,14.029411137756462
2018-02-12/2018-02-18,2,2,163,171,91,133,123,14586.25,18066.49,8375.960000000001,15847.23,14393.92,2719.87,3087.78,1782.22,2213.73,2353.88,3.539877300613497,3.807017543859649,3.7032967032967035,3.9022556390977443,4.186991869918699,12.428235699272893,12.622538783300843,12.33564852971103,11.90452407059315,12.656556383619392
